작성자,내용,추천수
user-uj4ir7eg8l,피해자는 용서한적 없는데 판사가 용서해주는 아이러니한 나라,1.9천
ENFP-T,진짜 제발 솜방망이처벌한 판사들 가족들에게 이런일이 일어나길 간절히 기도합니다,723
WIZART23,"피해자가 사망하지 않아서 감형, 가정사가 불우해서 감형… 이런 판결이 나오는 나라에서 산다는게 소름돋는다..",79
slolove76,"이상한 판결 내리는 판사들, 국민들이 옷벗겨 내려오게하는 제도가 있어야하고, 쫓겨난 판사가 치룬 판결을 없애고 다시 재판하는 제도가 필요합니다.",142
user-br9nc9hp5i,35년 가도 모자를 넘입니다. 우리나라 법과 판사님 제발정신 차려주세요,950
user-sz2op9qv8y,"나는 진짜 피해자도 구치소 동기 안위도 걱정되네요ㅠ 구치소 동기분 큰 용기내주셔서 감사하네요. 제발 판사님아 저런 인간은 구제 절대 안되니 사형때려서 평생 밖깥 공기 못마시게, 피해자랑 구치소 동기도 맘편하게 일생 살수있도록 해주세요. 왜 피해자가 이렇게 고통의 시간을 보내야하는지 진짜 이해를 할수가 없다.",114
user-rf8mr2pm8s,판사는 꼭 없어져야할 직업입니다 꼭 똑같이 당하세요 15년이나 감형해준 판사님,36
user-fr6jk3qs1r,불우한 환경에 감형이 된다는건 참 말이 않나오네요. 30대 초반에 전과가 저렇게 많은데 다시 사회로 나왔을때 범죄를 저질러라 라는 의미로 봤게 해석이 않되네요. 결국 문제는 판사라는거.. 판사들도 제발 돌려차기 당하길 기도합니다♡,160
user-gg9nl4op7o,판사가 문제다. 피해자는 용서 안 했는데 왜 감형해주냐. 판사가 저런 범죄자를 자꾸 풀어주니 피해자가 계속 생기는 거다. 감방 동기분 감사합니다. 용기를 내주셔서 국민들이 다 알게 됐네요.,41
kkamcc9292,판사들 정말 상식에서 벗어난 판결보면 제정신인가 싶을때가 많아요ㅜㅜ 대법원 국민참여재판 안되나요?,170
judyx8101,판사분 가족들이 똑같은 일 당하길 간절히 기도합니다.,236
johnlee-rf3vc,미국처럼 징역 350년 때려라. 취중 범행이라 형량이 줄어드는 이상한 나라 대한민국. 음주운전으로 사형에 처할 수 있는 미국. 이제는 한국도 법이 바뀌어야한다.,148
user-un9xg3xi5e,와... 무서워서 어떻게 길가를 다니라는 거냐??? 무기징역도 정신적인 피해는 없어지지 않는데... 이건 국민들을 불안해지게 하는 판사의 결정이다...,53
user-uo9xx5rr5p,그나마 검사는 35 년 구형했는데 불우하게 살았다고 15년을 감형해주는 판사~참~허탈하다 검찰 개혁보다 사법 개혁이 더 필요하다,905
user-eb9eh4xc1m,판사 가족에게 이런일이 꼭 꼭 생기길~~~,100
user-xj9tx6yx2x,존경하는 판사님들 제발 정신 좀 차리십시오. 이게 말이 됩니까?? 진짜 교화가 될거라고 믿으시는거예요?! 저 쓰레기는 직업이 범죄입니다. 계속 이렇게 피해자만 늘어나게 만드실거예요?!,506
user-wx8yy5vl1o,뻔뻔해도 너무 뻔뻔하지 않은가 판결하는 판사들도 눈이 있고 귀가 있다면 사형이 마땅하지 않은가 생각이 부족해서라면 모를까 출소 후 지금보다 더 할 범죄를 저지를수 있는 범죄자를 왜 왜!!!살려두는지 도무지 이해가 가질 않는다,25
jessicapaek7021,감형한 판사 정말 끔찍하다...,19
user-yp6ow9nf6i,"참을 만큼 참았습니다. 더 이상 대한민국 판사들의 형편없는 판결, 범죄자에게 관대하고 피해자에게 잔인한 판결을 멈추게 해야 합니다. 어떡해 전과 18범의 짐승 같은 놈이 고작 저 정도 형량입니까. 저놈은 살인미수, 강간으로 무기징역을 살게 해도 모자랄 지경인데.",313
user-nd9bn9nq8g,마지막 피해자분 인터뷰가 너무 가슴아프고 공감되네요..불우하다고 모두가 그렇게 살진않습니다. 감형...?말도안돼 제발 좀 납득할수있는 처벌을 내려주세요,72
user-dd3co8xr3d,그동안 얼마나 솜방망이 처벌 했으면 전과18범이 판치고 돌아다녔을까..판사님들 반성하세요!!,89
user-fw9pn8bo4f,판사님들 제발 좀 피해자 입장에서 판결해 주셨으면 좋겠습니다.. 휴...,222
inging5268,판사들 가족에게 똑같은 일이있었더라도 이따위 판결을 때렸을까? 정신차리세요 판사들 그런판단 내릴거면 가혹한 일이 꼭 당신들에게 있기를 빌께요 한번 당해보세요 판사이기 전에 인간이 되고 가슴을 울리는 현명한사람이 ..사람이 되라,26
